Job Title,job_title_clean,expected_category
Associate Professor,associate professor,Other
Mechanical Design Engineer,mechanical design engineer,Engineering
Investigative Analyst,investigative analyst,Data
Garage Manager,garage manager,Management
Instrument Technician,instrument technician,Engineering
Statistical Machine Mechanic,statistical machine mechanic,Engineering
Trash Man,trash man,Other
Licensing Specialist,licensing specialist,Other
Digital Cartographic Technician,digital cartographic technician,Data
Turning Sander Operator,turning sander operator,Other
Waxing Machine Operator,waxing machine operator,Other
Accessibility and Private Residence Lift Technician (Accessibility and Private Residence Lift Tech),accessibility and private residence lift technician (accessibility and private residence lift tech),Engineering
Slicing Machine Operator,slicing machine operator,Other
Industrial Technology Teacher,industrial technology teacher,Other
Butt Welder,butt welder,Engineering
Cloth Finishing Range Operator,cloth finishing range operator,Other
Science Education Professor,science education professor,Other
Ditto Machine Operator,ditto machine operator,Other
Vehicle Condition Assessor,vehicle condition assessor,Other
Ophthalmic Medical Technologist (Ophthalmic Medical Tech),ophthalmic medical technologist (ophthalmic medical tech),Other
Solar Project Engineer,solar project engineer,Engineering
Network Desktop Support Specialist,network desktop support specialist,Software
Juvenile Justice Specialist,juvenile justice specialist,Other
Draw Frame Tender,draw frame tender,Other
Loan Adviser,loan adviser,Finance
Polymerization Engineer,polymerization engineer,Engineering
Account Clerk Typist,account clerk typist,Finance
Scorer Helper,scorer helper,Other
Online Producer,online producer,Software
Cultural Resources Specialist,cultural resources specialist,Other
Liquor Bridge Operator,liquor bridge operator,Other
Relief Operator,relief operator,Other
Wood Cutter,wood cutter,Other
Electronic Components Assembler,electronic components assembler,Engineering
Beveling Machine Operator,beveling machine operator,Other
Talent Booker,talent booker,HR
Installer,installer,Engineering
Slip Cover Seamstress,slip cover seamstress,Other
Tanbark Laborer,tanbark laborer,Other
Soccer Official,soccer official,Other
Well Servicing Rig Hand,well servicing rig hand,Engineering
Lease Administration Analyst,lease administration analyst,Finance
Denture Technician (Denture Tech),denture technician (denture tech),Other
Inventory Controller,inventory controller,Other
Floor Space Allocator,floor space allocator,Other
Electrical Inspector,electrical inspector,Engineering
Machine Package Sealer,machine package sealer,Other
Office Secretary,office secretary,Other
Maintenance Person,maintenance person,Other
Direct Selling Counselor,direct selling counselor,Other
Electric Spot Welder,electric spot welder,Engineering
Protein Biochemist,protein biochemist,Other
Urban Planner,urban planner,Other
Nuclear Control Operator,nuclear control operator,Engineering
Mattress Weaver,mattress weaver,Other
Fire Medic,fire medic,Other
Engineering Assistant,engineering assistant,Engineering
Paper Ruler,paper ruler,Other
Plaster Caster,plaster caster,Other
Loan Assistant,loan assistant,Finance
Fish Dressing Machine Feeder,fish dressing machine feeder,Other
Fitness and Wellness Director,fitness and wellness director,Management
In-Home Caregiver,in-home caregiver,Other
Sanitary Chemist,sanitary chemist,Other
Garment Form Assembler,garment form assembler,Other
Forensic Neuropsychologist,forensic neuropsychologist,Other
Medical Records Clerk,medical records clerk,Other
Plastic Sheets Finishing Supervisor,plastic sheets finishing supervisor,Management
Plant Superintendent,plant superintendent,Management
Clockmaker,clockmaker,Other
Suppository Molding Machine Operator,suppository molding machine operator,Other
Workforce Analyst,workforce analyst,Data
Wireless Sales Representative (Wireless Sales Rep),wireless sales representative (wireless sales rep),Other
Salad Maker,salad maker,Other
Shipping Receiving Manager,shipping receiving manager,Management
Naphthalene Operator Helper,naphthalene operator helper,Other
Sushi Chef,sushi chef,Other
Dry Drug Worker,dry drug worker,Other
Newspaper Distributor Supervisor,newspaper distributor supervisor,Management
Party Plan Sales Agent,party plan sales agent,Other
Auriculotherapist,auriculotherapist,Other
Die Cutting Machine Operator,die cutting machine operator,Other
Guide Changer,guide changer,Other
Training Director,training director,HR
Trophy Assembler,trophy assembler,Other
APE Instructional Specialist (Adapted Physical Education Instructional Specialist),ape instructional specialist (adapted physical education instructional specialist),Other
Signals Collection Technician,signals collection technician,Engineering
CNC Operator (Computer Numerical Control Operator),cnc operator (computer numerical control operator),Engineering
Health Information Management Technician (Health Information Management Tech),health information management technician (health information management tech),Data
Card Boxer,card boxer,Other
Opinion Polls Survey Worker,opinion polls survey worker,Data
Psychiatric Mental Health NP (Psychiatric Mental Health Nurse Practitioner),psychiatric mental health np (psychiatric mental health nurse practitioner),Other
Jig Builder Helper,jig builder helper,Engineering
Salon Coordinator,salon coordinator,Management
Manufacturing Coordinator,manufacturing coordinator,Management
Fish Butcher,fish butcher,Other
Street Car Mechanic,street car mechanic,Engineering
Grain and Feed Maintenance Mechanic,grain and feed maintenance mechanic,Engineering
Ceiling Installer,ceiling installer,Engineering
Production Director,production director,Management
